,secID,ticker,secShortName,exchangeCD,tradeDate,consID,consTicker,consName,consExchangeCD,quantity,cashSubsSign,CashRatio,fixedCahsAmount
1074,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601111.XSHG,601111,中国国航,XSHG,1300,1,10,
1075,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601138.XSHG,601138,工业富联,XSHG,800,1,10,
1076,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601166.XSHG,601166,兴业银行,XSHG,6600,1,10,
1077,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601186.XSHG,601186,中国铁建,XSHG,2100,1,10,
1078,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601211.XSHG,601211,国泰君安,XSHG,2100,1,10,
1079,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601236.XSHG,601236,红塔证券,XSHG,200,1,10,
1080,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601288.XSHG,601288,农业银行,XSHG,17500,1,10,
1081,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601318.XSHG,601318,中国平安,XSHG,4900,1,10,
1082,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601319.XSHG,601319,中国人保,XSHG,500,1,10,
1083,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601328.XSHG,601328,交通银行,XSHG,12600,1,10,
1084,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601336.XSHG,601336,新华保险,XSHG,400,1,10,
1085,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601390.XSHG,601390,中国中铁,XSHG,3700,1,10,
1086,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601398.XSHG,601398,工商银行,XSHG,9800,1,10,
1087,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601601.XSHG,601601,中国太保,XSHG,1400,1,10,
1088,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601628.XSHG,601628,中国人寿,XSHG,800,1,10,
1089,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601668.XSHG,601668,中国建筑,XSHG,9600,1,10,
1090,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601688.XSHG,601688,华泰证券,XSHG,2000,1,10,
1091,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601766.XSHG,601766,中国中车,XSHG,4500,1,10,
1092,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601818.XSHG,601818,光大银行,XSHG,7300,1,10,
1093,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601857.XSHG,601857,中国石油,XSHG,4400,1,10,
1094,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601888.XSHG,601888,中国国旅,XSHG,400,1,10,
1095,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601939.XSHG,601939,建设银行,XSHG,3100,1,10,
1096,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601988.XSHG,601988,中国银行,XSHG,9600,1,10,
1097,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,601989.XSHG,601989,中国重工,XSHG,4200,1,10,
1098,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,603259.XSHG,603259,药明康德,XSHG,300,1,10,
1099,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-31,603993.XSHG,603993,洛阳钼业,XSHG,3200,1,10,
1100,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,600000.XSHG,600000,浦发银行,XSHG,5300,1,10,
1101,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,600009.XSHG,600009,上海机场,XSHG,400,1,10,
1102,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,600016.XSHG,600016,民生银行,XSHG,11300,1,10,
1103,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,600028.XSHG,600028,中国石化,XSHG,6100,1,10,
1104,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,600030.XSHG,600030,中信证券,XSHG,3900,1,10,
1105,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,600031.XSHG,600031,三一重工,XSHG,2700,1,10,
1106,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,600036.XSHG,600036,招商银行,XSHG,4700,1,10,
1107,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,600048.XSHG,600048,保利地产,XSHG,3300,1,10,
1108,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,600050.XSHG,600050,中国联通,XSHG,4200,1,10,
